Category,Name,Symbol,Definition,Units/Dimension,Bucket,Typical Value / Formula,Estimation / Source,Notes
Technical Indicators,EMA period 2,α_2,EMA smoothing factor,dimensionless,E,0.666667,Definition α = 2/(2+1),Default; tunable
Technical Indicators,EMA period 81,α_81,EMA smoothing factor,dimensionless,E,0.024390,Definition α = 2/(81+1),Default; tunable
Technical Indicators,EMA period 82,α_82,EMA smoothing factor,dimensionless,E,0.024096,Definition α = 2/(82+1),Default; tunable
Technical Indicators,EMA period 83,α_83,EMA smoothing factor,dimensionless,E,0.023810,Definition α = 2/(83+1),Default; tunable
Technical Indicators,EMA period 84,α_84,EMA smoothing factor,dimensionless,E,0.023529,Definition α = 2/(84+1),Default; tunable
Technical Indicators,EMA period 85,α_85,EMA smoothing factor,dimensionless,E,0.023256,Definition α = 2/(85+1),Default; tunable
Technical Indicators,EMA period 86,α_86,EMA smoothing factor,dimensionless,E,0.022989,Definition α = 2/(86+1),Default; tunable
Technical Indicators,EMA period 87,α_87,EMA smoothing factor,dimensionless,E,0.022727,Definition α = 2/(87+1),Default; tunable
Technical Indicators,EMA period 88,α_88,EMA smoothing factor,dimensionless,E,0.022472,Definition α = 2/(88+1),Default; tunable
Technical Indicators,EMA period 89,α_89,EMA smoothing factor,dimensionless,E,0.022222,Definition α = 2/(89+1),Default; tunable
Technical Indicators,EMA period 90,α_90,EMA smoothing factor,dimensionless,E,0.021978,Definition α = 2/(90+1),Default; tunable
Technical Indicators,EMA period 91,α_91,EMA smoothing factor,dimensionless,E,0.021739,Definition α = 2/(91+1),Default; tunable
Technical Indicators,EMA period 92,α_92,EMA smoothing factor,dimensionless,E,0.021505,Definition α = 2/(92+1),Default; tunable
Technical Indicators,EMA period 93,α_93,EMA smoothing factor,dimensionless,E,0.021277,Definition α = 2/(93+1),Default; tunable
Technical Indicators,EMA period 94,α_94,EMA smoothing factor,dimensionless,E,0.021053,Definition α = 2/(94+1),Default; tunable
Technical Indicators,EMA period 95,α_95,EMA smoothing factor,dimensionless,E,0.020833,Definition α = 2/(95+1),Default; tunable
Technical Indicators,EMA period 96,α_96,EMA smoothing factor,dimensionless,E,0.020619,Definition α = 2/(96+1),Default; tunable
Technical Indicators,EMA period 97,α_97,EMA smoothing factor,dimensionless,E,0.020408,Definition α = 2/(97+1),Default; tunable
Technical Indicators,EMA period 98,α_98,EMA smoothing factor,dimensionless,E,0.020202,Definition α = 2/(98+1),Default; tunable
Technical Indicators,EMA period 99,α_99,EMA smoothing factor,dimensionless,E,0.020000,Definition α = 2/(99+1),Default; tunable
Technical Indicators,EMA period 100,α_100,EMA smoothing factor,dimensionless,E,0.019802,Definition α = 2/(100+1),Default; tunable
Technical Indicators,EMA period 101,α_101,EMA smoothing factor,dimensionless,E,0.019608,Definition α = 2/(101+1),Default; tunable
Technical Indicators,EMA period 102,α_102,EMA smoothing factor,dimensionless,E,0.019417,Definition α = 2/(102+1),Default; tunable
Technical Indicators,EMA period 103,α_103,EMA smoothing factor,dimensionless,E,0.019231,Definition α = 2/(103+1),Default; tunable
Technical Indicators,EMA period 104,α_104,EMA smoothing factor,dimensionless,E,0.019048,Definition α = 2/(104+1),Default; tunable
Technical Indicators,EMA period 105,α_105,EMA smoothing factor,dimensionless,E,0.018868,Definition α = 2/(105+1),Default; tunable
Technical Indicators,EMA period 106,α_106,EMA smoothing factor,dimensionless,E,0.018692,Definition α = 2/(106+1),Default; tunable
Technical Indicators,EMA period 107,α_107,EMA smoothing factor,dimensionless,E,0.018519,Definition α = 2/(107+1),Default; tunable
Technical Indicators,EMA period 108,α_108,EMA smoothing factor,dimensionless,E,0.018349,Definition α = 2/(108+1),Default; tunable
Technical Indicators,EMA period 109,α_109,EMA smoothing factor,dimensionless,E,0.018182,Definition α = 2/(109+1),Default; tunable
Technical Indicators,EMA period 110,α_110,EMA smoothing factor,dimensionless,E,0.018018,Definition α = 2/(110+1),Default; tunable
Technical Indicators,EMA period 111,α_111,EMA smoothing factor,dimensionless,E,0.017857,Definition α = 2/(111+1),Default; tunable
Technical Indicators,EMA period 112,α_112,EMA smoothing factor,dimensionless,E,0.017699,Definition α = 2/(112+1),Default; tunable
Technical Indicators,EMA period 113,α_113,EMA smoothing factor,dimensionless,E,0.017544,Definition α = 2/(113+1),Default; tunable
Technical Indicators,EMA period 114,α_114,EMA smoothing factor,dimensionless,E,0.017391,Definition α = 2/(114+1),Default; tunable
Technical Indicators,EMA period 115,α_115,EMA smoothing factor,dimensionless,E,0.017241,Definition α = 2/(115+1),Default; tunable
Technical Indicators,EMA period 116,α_116,EMA smoothing factor,dimensionless,E,0.017094,Definition α = 2/(116+1),Default; tunable
Technical Indicators,EMA period 117,α_117,EMA smoothing factor,dimensionless,E,0.016949,Definition α = 2/(117+1),Default; tunable
Technical Indicators,EMA period 118,α_118,EMA smoothing factor,dimensionless,E,0.016807,Definition α = 2/(118+1),Default; tunable
Technical Indicators,EMA period 119,α_119,EMA smoothing factor,dimensionless,E,0.016667,Definition α = 2/(119+1),Default; tunable
Technical Indicators,EMA period 120,α_120,EMA smoothing factor,dimensionless,E,0.016529,Definition α = 2/(120+1),Default; tunable
Technical Indicators,EMA period 121,α_121,EMA smoothing factor,dimensionless,E,0.016393,Definition α = 2/(121+1),Default; tunable
Technical Indicators,EMA period 122,α_122,EMA smoothing factor,dimensionless,E,0.016260,Definition α = 2/(122+1),Default; tunable
Technical Indicators,EMA period 123,α_123,EMA smoothing factor,dimensionless,E,0.016129,Definition α = 2/(123+1),Default; tunable
Technical Indicators,EMA period 124,α_124,EMA smoothing factor,dimensionless,E,0.016000,Definition α = 2/(124+1),Default; tunable
Technical Indicators,EMA period 125,α_125,EMA smoothing factor,dimensionless,E,0.015873,Definition α = 2/(125+1),Default; tunable
Technical Indicators,EMA period 126,α_126,EMA smoothing factor,dimensionless,E,0.015748,Definition α = 2/(126+1),Default; tunable
Technical Indicators,EMA period 127,α_127,EMA smoothing factor,dimensionless,E,0.015625,Definition α = 2/(127+1),Default; tunable
Technical Indicators,EMA period 128,α_128,EMA smoothing factor,dimensionless,E,0.015504,Definition α = 2/(128+1),Default; tunable
Technical Indicators,EMA period 129,α_129,EMA smoothing factor,dimensionless,E,0.015385,Definition α = 2/(129+1),Default; tunable
Technical Indicators,EMA period 130,α_130,EMA smoothing factor,dimensionless,E,0.015267,Definition α = 2/(130+1),Default; tunable
Technical Indicators,EMA period 131,α_131,EMA smoothing factor,dimensionless,E,0.015152,Definition α = 2/(131+1),Default; tunable
Technical Indicators,EMA period 132,α_132,EMA smoothing factor,dimensionless,E,0.015038,Definition α = 2/(132+1),Default; tunable
Technical Indicators,EMA period 133,α_133,EMA smoothing factor,dimensionless,E,0.014925,Definition α = 2/(133+1),Default; tunable
Technical Indicators,EMA period 134,α_134,EMA smoothing factor,dimensionless,E,0.014815,Definition α = 2/(134+1),Default; tunable
Technical Indicators,EMA period 135,α_135,EMA smoothing factor,dimensionless,E,0.014706,Definition α = 2/(135+1),Default; tunable
Technical Indicators,EMA period 136,α_136,EMA smoothing factor,dimensionless,E,0.014599,Definition α = 2/(136+1),Default; tunable
Technical Indicators,EMA period 137,α_137,EMA smoothing factor,dimensionless,E,0.014493,Definition α = 2/(137+1),Default; tunable
Technical Indicators,EMA period 138,α_138,EMA smoothing factor,dimensionless,E,0.014388,Definition α = 2/(138+1),Default; tunable
Technical Indicators,EMA period 139,α_139,EMA smoothing factor,dimensionless,E,0.014286,Definition α = 2/(139+1),Default; tunable
Technical Indicators,EMA period 140,α_140,EMA smoothing factor,dimensionless,E,0.014184,Definition α = 2/(140+1),Default; tunable
Technical Indicators,EMA period 141,α_141,EMA smoothing factor,dimensionless,E,0.014085,Definition α = 2/(141+1),Default; tunable
Technical Indicators,EMA period 142,α_142,EMA smoothing factor,dimensionless,E,0.013986,Definition α = 2/(142+1),Default; tunable
Technical Indicators,EMA period 143,α_143,EMA smoothing factor,dimensionless,E,0.013889,Definition α = 2/(143+1),Default; tunable
Technical Indicators,EMA period 144,α_144,EMA smoothing factor,dimensionless,E,0.013793,Definition α = 2/(144+1),Default; tunable
Technical Indicators,EMA period 145,α_145,EMA smoothing factor,dimensionless,E,0.013699,Definition α = 2/(145+1),Default; tunable
Technical Indicators,EMA period 146,α_146,EMA smoothing factor,dimensionless,E,0.013605,Definition α = 2/(146+1),Default; tunable
Technical Indicators,EMA period 147,α_147,EMA smoothing factor,dimensionless,E,0.013514,Definition α = 2/(147+1),Default; tunable
Technical Indicators,EMA period 148,α_148,EMA smoothing factor,dimensionless,E,0.013423,Definition α = 2/(148+1),Default; tunable
Technical Indicators,EMA period 149,α_149,EMA smoothing factor,dimensionless,E,0.013333,Definition α = 2/(149+1),Default; tunable
Technical Indicators,EMA period 150,α_150,EMA smoothing factor,dimensionless,E,0.013245,Definition α = 2/(150+1),Default; tunable
Technical Indicators,EMA period 151,α_151,EMA smoothing factor,dimensionless,E,0.013158,Definition α = 2/(151+1),Default; tunable
Technical Indicators,EMA period 152,α_152,EMA smoothing factor,dimensionless,E,0.013072,Definition α = 2/(152+1),Default; tunable
Technical Indicators,EMA period 153,α_153,EMA smoothing factor,dimensionless,E,0.012987,Definition α = 2/(153+1),Default; tunable
Technical Indicators,EMA period 154,α_154,EMA smoothing factor,dimensionless,E,0.012903,Definition α = 2/(154+1),Default; tunable
Technical Indicators,EMA period 155,α_155,EMA smoothing factor,dimensionless,E,0.012821,Definition α = 2/(155+1),Default; tunable
Technical Indicators,EMA period 156,α_156,EMA smoothing factor,dimensionless,E,0.012739,Definition α = 2/(156+1),Default; tunable
Technical Indicators,EMA period 157,α_157,EMA smoothing factor,dimensionless,E,0.012658,Definition α = 2/(157+1),Default; tunable
Technical Indicators,EMA period 158,α_158,EMA smoothing factor,dimensionless,E,0.012579,Definition α = 2/(158+1),Default; tunable
Technical Indicators,EMA period 159,α_159,EMA smoothing factor,dimensionless,E,0.012500,Definition α = 2/(159+1),Default; tunable
Technical Indicators,EMA period 160,α_160,EMA smoothing factor,dimensionless,E,0.012422,Definition α = 2/(160+1),Default; tunable
Technical Indicators,EMA period 161,α_161,EMA smoothing factor,dimensionless,E,0.012346,Definition α = 2/(161+1),Default; tunable
Technical Indicators,EMA period 162,α_162,EMA smoothing factor,dimensionless,E,0.012270,Definition α = 2/(162+1),Default; tunable
Technical Indicators,EMA period 163,α_163,EMA smoothing factor,dimensionless,E,0.012195,Definition α = 2/(163+1),Default; tunable
Technical Indicators,EMA period 164,α_164,EMA smoothing factor,dimensionless,E,0.012121,Definition α = 2/(164+1),Default; tunable
Technical Indicators,EMA period 165,α_165,EMA smoothing factor,dimensionless,E,0.012048,Definition α = 2/(165+1),Default; tunable
Technical Indicators,EMA period 166,α_166,EMA smoothing factor,dimensionless,E,0.011976,Definition α = 2/(166+1),Default; tunable
Technical Indicators,EMA period 167,α_167,EMA smoothing factor,dimensionless,E,0.011905,Definition α = 2/(167+1),Default; tunable
Technical Indicators,EMA period 168,α_168,EMA smoothing factor,dimensionless,E,0.011834,Definition α = 2/(168+1),Default; tunable
Technical Indicators,EMA period 169,α_169,EMA smoothing factor,dimensionless,E,0.011765,Definition α = 2/(169+1),Default; tunable
Technical Indicators,EMA period 170,α_170,EMA smoothing factor,dimensionless,E,0.011696,Definition α = 2/(170+1),Default; tunable
Technical Indicators,EMA period 171,α_171,EMA smoothing factor,dimensionless,E,0.011628,Definition α = 2/(171+1),Default; tunable
Technical Indicators,EMA period 172,α_172,EMA smoothing factor,dimensionless,E,0.011561,Definition α = 2/(172+1),Default; tunable
Technical Indicators,EMA period 173,α_173,EMA smoothing factor,dimensionless,E,0.011494,Definition α = 2/(173+1),Default; tunable
Technical Indicators,EMA period 174,α_174,EMA smoothing factor,dimensionless,E,0.011429,Definition α = 2/(174+1),Default; tunable
Technical Indicators,EMA period 175,α_175,EMA smoothing factor,dimensionless,E,0.011364,Definition α = 2/(175+1),Default; tunable
Technical Indicators,EMA period 176,α_176,EMA smoothing factor,dimensionless,E,0.011299,Definition α = 2/(176+1),Default; tunable
Technical Indicators,EMA period 177,α_177,EMA smoothing factor,dimensionless,E,0.011236,Definition α = 2/(177+1),Default; tunable
Technical Indicators,EMA period 178,α_178,EMA smoothing factor,dimensionless,E,0.011173,Definition α = 2/(178+1),Default; tunable
Technical Indicators,EMA period 179,α_179,EMA smoothing factor,dimensionless,E,0.011111,Definition α = 2/(179+1),Default; tunable
Technical Indicators,EMA period 180,α_180,EMA smoothing factor,dimensionless,E,0.011050,Definition α = 2/(180+1),Default; tunable
Technical Indicators,EMA period 181,α_181,EMA smoothing factor,dimensionless,E,0.010989,Definition α = 2/(181+1),Default; tunable
Technical Indicators,EMA period 182,α_182,EMA smoothing factor,dimensionless,E,0.010929,Definition α = 2/(182+1),Default; tunable
Technical Indicators,EMA period 183,α_183,EMA smoothing factor,dimensionless,E,0.010870,Definition α = 2/(183+1),Default; tunable
Technical Indicators,EMA period 184,α_184,EMA smoothing factor,dimensionless,E,0.010811,Definition α = 2/(184+1),Default; tunable
Technical Indicators,EMA period 185,α_185,EMA smoothing factor,dimensionless,E,0.010753,Definition α = 2/(185+1),Default; tunable
Technical Indicators,EMA period 186,α_186,EMA smoothing factor,dimensionless,E,0.010695,Definition α = 2/(186+1),Default; tunable
Technical Indicators,EMA period 187,α_187,EMA smoothing factor,dimensionless,E,0.010638,Definition α = 2/(187+1),Default; tunable
Technical Indicators,EMA period 188,α_188,EMA smoothing factor,dimensionless,E,0.010582,Definition α = 2/(188+1),Default; tunable
Technical Indicators,EMA period 189,α_189,EMA smoothing factor,dimensionless,E,0.010526,Definition α = 2/(189+1),Default; tunable
Technical Indicators,EMA period 190,α_190,EMA smoothing factor,dimensionless,E,0.010471,Definition α = 2/(190+1),Default; tunable
Technical Indicators,EMA period 191,α_191,EMA smoothing factor,dimensionless,E,0.010417,Definition α = 2/(191+1),Default; tunable
Technical Indicators,EMA period 192,α_192,EMA smoothing factor,dimensionless,E,0.010363,Definition α = 2/(192+1),Default; tunable
Technical Indicators,EMA period 193,α_193,EMA smoothing factor,dimensionless,E,0.010309,Definition α = 2/(193+1),Default; tunable
Technical Indicators,EMA period 194,α_194,EMA smoothing factor,dimensionless,E,0.010256,Definition α = 2/(194+1),Default; tunable
Technical Indicators,EMA period 195,α_195,EMA smoothing factor,dimensionless,E,0.010204,Definition α = 2/(195+1),Default; tunable
Technical Indicators,EMA period 196,α_196,EMA smoothing factor,dimensionless,E,0.010152,Definition α = 2/(196+1),Default; tunable
Technical Indicators,EMA period 197,α_197,EMA smoothing factor,dimensionless,E,0.010101,Definition α = 2/(197+1),Default; tunable
Technical Indicators,EMA period 198,α_198,EMA smoothing factor,dimensionless,E,0.010050,Definition α = 2/(198+1),Default; tunable
Technical Indicators,EMA period 199,α_199,EMA smoothing factor,dimensionless,E,0.010000,Definition α = 2/(199+1),Default; tunable
Technical Indicators,EMA period 200,α_200,EMA smoothing factor,dimensionless,E,0.009950,Definition α = 2/(200+1),Default; tunable
Technical Indicators,EMA period 201,α_201,EMA smoothing factor,dimensionless,E,0.009901,Definition α = 2/(201+1),Default; tunable
Technical Indicators,EMA period 202,α_202,EMA smoothing factor,dimensionless,E,0.009852,Definition α = 2/(202+1),Default; tunable
Technical Indicators,EMA period 203,α_203,EMA smoothing factor,dimensionless,E,0.009804,Definition α = 2/(203+1),Default; tunable
Technical Indicators,EMA period 204,α_204,EMA smoothing factor,dimensionless,E,0.009756,Definition α = 2/(204+1),Default; tunable
Technical Indicators,EMA period 205,α_205,EMA smoothing factor,dimensionless,E,0.009709,Definition α = 2/(205+1),Default; tunable
Technical Indicators,EMA period 206,α_206,EMA smoothing factor,dimensionless,E,0.009662,Definition α = 2/(206+1),Default; tunable
Technical Indicators,EMA period 207,α_207,EMA smoothing factor,dimensionless,E,0.009615,Definition α = 2/(207+1),Default; tunable
Technical Indicators,EMA period 208,α_208,EMA smoothing factor,dimensionless,E,0.009569,Definition α = 2/(208+1),Default; tunable
Technical Indicators,EMA period 209,α_209,EMA smoothing factor,dimensionless,E,0.009524,Definition α = 2/(209+1),Default; tunable
Technical Indicators,EMA period 210,α_210,EMA smoothing factor,dimensionless,E,0.009479,Definition α = 2/(210+1),Default; tunable
Technical Indicators,EMA period 211,α_211,EMA smoothing factor,dimensionless,E,0.009434,Definition α = 2/(211+1),Default; tunable
Technical Indicators,EMA period 212,α_212,EMA smoothing factor,dimensionless,E,0.009390,Definition α = 2/(212+1),Default; tunable
Technical Indicators,EMA period 213,α_213,EMA smoothing factor,dimensionless,E,0.009346,Definition α = 2/(213+1),Default; tunable
Technical Indicators,EMA period 214,α_214,EMA smoothing factor,dimensionless,E,0.009302,Definition α = 2/(214+1),Default; tunable
Technical Indicators,EMA period 215,α_215,EMA smoothing factor,dimensionless,E,0.009259,Definition α = 2/(215+1),Default; tunable
Technical Indicators,EMA period 216,α_216,EMA smoothing factor,dimensionless,E,0.009217,Definition α = 2/(216+1),Default; tunable
Technical Indicators,EMA period 217,α_217,EMA smoothing factor,dimensionless,E,0.009174,Definition α = 2/(217+1),Default; tunable
Technical Indicators,EMA period 218,α_218,EMA smoothing factor,dimensionless,E,0.009132,Definition α = 2/(218+1),Default; tunable
Technical Indicators,EMA period 219,α_219,EMA smoothing factor,dimensionless,E,0.009091,Definition α = 2/(219+1),Default; tunable
Technical Indicators,EMA period 220,α_220,EMA smoothing factor,dimensionless,E,0.009050,Definition α = 2/(220+1),Default; tunable
Technical Indicators,EMA period 221,α_221,EMA smoothing factor,dimensionless,E,0.009009,Definition α = 2/(221+1),Default; tunable
Technical Indicators,EMA period 222,α_222,EMA smoothing factor,dimensionless,E,0.008969,Definition α = 2/(222+1),Default; tunable
Technical Indicators,EMA period 223,α_223,EMA smoothing factor,dimensionless,E,0.008929,Definition α = 2/(223+1),Default; tunable
Technical Indicators,EMA period 224,α_224,EMA smoothing factor,dimensionless,E,0.008889,Definition α = 2/(224+1),Default; tunable
