Pattern / Catalyst,Typical Window (UTC),Observed Effect,Metric Signatures,Risk / Execution Rule,Notes
QuickSwap Emission end/cliff,End of emission periods,Potential TVL exodus,"Sharp TVL decline, token selling",Exit before emission end,Incentive cliff effects - QuickSwap
Kyber Token emission start,Protocol-specific dates,Increased protocol activity,"TVL increase, token price impact",Monitor for emission dilution,New incentive programs - Kyber
Kyber Emission rate change,Governance proposal execution,Changed yield farming incentives,"TVL migration, yield changes",Reassess yield strategies,Tokenomics adjustments - Kyber
Kyber Emission end/cliff,End of emission periods,Potential TVL exodus,"Sharp TVL decline, token selling",Exit before emission end,Incentive cliff effects - Kyber
Pendle Token emission start,Protocol-specific dates,Increased protocol activity,"TVL increase, token price impact",Monitor for emission dilution,New incentive programs - Pendle
Pendle Emission rate change,Governance proposal execution,Changed yield farming incentives,"TVL migration, yield changes",Reassess yield strategies,Tokenomics adjustments - Pendle
Pendle Emission end/cliff,End of emission periods,Potential TVL exodus,"Sharp TVL decline, token selling",Exit before emission end,Incentive cliff effects - Pendle
European lunch break,11:30-13:00 UTC,Reduced European trading activity,"Volume decline, spread widening",Reduce position size 20%,EU trader lunch break
US lunch break,17:00-18:30 UTC,Reduced US trading activity,Volume decline in US assets,Monitor for breakouts on low volume,US trader lunch break
Asian morning ramp,00:00-02:00 UTC,Asian session momentum building,Gradual volume increase,Early trend identification opportunity,Asian session start
Pre-market volatility,12:00-13:30 UTC weekdays,US pre-market news reactions,"Gap risk, low liquidity",Prepare for US open volatility,Before US equity open
After-hours grinding,21:00-00:00 UTC,Low volume directional moves,Persistent but low volume trends,Small size trend following,US after-hours activity
Weekend preparation,Friday 20:00-23:59 UTC,Position risk reduction,Reduced risk appetite,Minimize weekend gap exposure,Pre-weekend risk management
Monday gap assessment,Monday 00:00-02:00 UTC,Weekend news gap reactions,Price gaps from weekend events,Assess gap fade opportunities,Weekend news processing
Asia/Europe handover,06:00-08:00 UTC,Transition between major sessions,"Volume transition, direction confirmation",Monitor for trend continuation,Session transition period
Europe/US handover,12:00-14:00 UTC,Peak overlap trading period,Maximum liquidity and volume,Optimal execution window,Peak global liquidity
End of day positioning,21:00-22:00 UTC,Day trader position closing,Reversion tendency in short-term moves,Fade intraday extremes,EOD profit taking
