id,subdomain,name,statement,variables_and_units,value_or_exponent,status,status_note,regime_variable,falsification_test,trok_gate_prognosis
11,Cryptography/symmetric,Key stretching gain,security_gain = log2(iterations) bits,iterations [1]; gain [bit],log2,PROVEN,proven,attacker hardware type,Cost per guess must scale linearly with iteration count,"passes dimensional; regime gate n/a (theorem, not fitted)"
12,Cryptography/symmetric,Hellman time-memory tradeoff,T * M^2 = N^2,T = time [ops]; M = memory [words]; N = key space [1],1,PROVEN,proven,precomputation allowed,Any generic attack with T*M^2 < N^2 falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
13,Cryptography/symmetric,Memory-hard function cost,AT_cost proportional to memory * time,memory [B]; time [s]; AT [B*s],linear in both,PROVEN,proven (design target),ASIC vs CPU adversary,An ASIC achieving sublinear AT for Argon2id falsifies the parameterisation,"passes dimensional; regime gate n/a (theorem, not fitted)"
14,Cryptography/keys,Passphrase entropy,H = L * log2(W),L = words [1]; W = wordlist size [1]; H [bit],log2(2048) = 11 bit/word (BIP-39),PROVEN,proven,selection uniform yes/no,Non-uniform human selection lowers H; measure empirical entropy of real wallets,"passes dimensional; regime gate n/a (theorem, not fitted)"
15,Cryptography/keys,BIP-39 checksum ratio,checksum_bits = entropy_bits / 32,entropy [bit],1/32,DEFINITIONAL,definitional,BIP-39 only,12 words = 128 bit entropy + 4 bit checksum; deviation means non-compliance,"passes dimensional; not a law - no k to estimate, skip bootstrap"
16,Cryptography/keys,Perfect secrecy (Shannon),H(K) >= H(M) for I(M;C) = 0,entropies [bit],1,PROVEN,proven,information-theoretic vs computational,Any scheme with |K| < |M| and zero leakage falsifies Shannon,"passes dimensional; regime gate n/a (theorem, not fitted)"
17,Cryptography/keys,Shamir threshold secrecy,any t-1 of n shares yield I(S; shares) = 0,"t, n [1]; I [bit]",0 bits leaked,PROVEN,proven,t-1 vs t shares,Measurable leakage below threshold falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
18,Cryptography/keys,Share size lower bound,|share| >= |secret|,bytes,1,PROVEN,proven,perfect vs computational sharing,Perfect scheme with smaller shares falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
19,Cryptography/dlp,Baby-step giant-step,"T = O(sqrt(n)) group operations, M = O(sqrt(n))",n = group order [1],sqrt,PROVEN,proven,generic group model,Generic DLP faster than sqrt(n) falsifies Shoup's bound,"passes dimensional; regime gate n/a (theorem, not fitted)"
20,Cryptography/dlp,Pollard rho for ECDLP,T = sqrt(pi*n/4) group operations,n = curve order [1],sqrt(pi/4) = 0.886,PROVEN,proven,"generic curve, no special structure",secp256k1 (n ~ 2^256) -> 128-bit security; a faster generic attack falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
21,Cryptography/dlp,Index calculus in finite fields,"T = L_q[1/3, (64/9)^(1/3)]",q = field size [1],c = 1.923,PROVEN,proven,finite field vs elliptic curve,"Applies to F_p*, not to generic EC groups; an EC index calculus would falsify","passes dimensional; regime gate n/a (theorem, not fitted)"
22,Cryptography/rsa,Number field sieve cost,"T = L_N[1/3, (64/9)^(1/3)]",N = modulus [1],c = 1.923,PROVEN,proven,classical factoring,RSA-2048 ~ 112-bit security; a sub-L[1/3] classical factoring algorithm falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
23,Cryptography/quantum,Shor polynomial break,T = O((log N)^3) qubit ops for factoring and DLP,N = modulus [1],cubic,PROVEN,proven,CRQC available yes/no,Regime switch: all RSA/ECC rows above lose validity once a CRQC exists,"passes dimensional; regime gate n/a (theorem, not fitted)"
24,Cryptography/quantum,NIST security-strength equivalence,AES-128 ~ RSA-3072 ~ ECC-256 ~ 128-bit classical,bits [1],128,PROVEN,proven (consensus mapping),classical vs quantum,Under Grover AES-128 drops to ~64 effective bits; check the mapping survives,"passes dimensional; regime gate n/a (theorem, not fitted)"
25,Cryptography/pqc,ML-KEM-768 size constants,"pk = 1184 B, ct = 1088 B, sk = 2400 B",bytes,1184 / 1088 / 2400,DEFINITIONAL,definitional (FIPS 203),parameter set,Deviation means non-compliant implementation,"passes dimensional; not a law - no k to estimate, skip bootstrap"
26,Cryptography/pqc,ML-DSA-65 signature size,"sig = 3309 B, pk = 1952 B",bytes,3309 / 1952,DEFINITIONAL,definitional (FIPS 204),parameter set,Fixed by the standard; measure on a real implementation,"passes dimensional; not a law - no k to estimate, skip bootstrap"
27,Cryptography/pqc,PQC bandwidth penalty,size_ratio = |ML-DSA-65| / |Ed25519| ~ 3309/64,dimensionless ratio,~51.7x,DERIVED,derived,signature scheme family,Drives on-chain feasibility; test against block-size limits,"passes dimensional; regime gate n/a (theorem, not fitted)"
28,Cryptography/signatures,Ed25519 size constants,"sig = 64 B, pk = 32 B, sk = 32 B seed",bytes,64 / 32,DEFINITIONAL,definitional (RFC 8032),scheme,Direct measurement,"passes dimensional; not a law - no k to estimate, skip bootstrap"
29,Cryptography/signatures,BIP-340 Schnorr size,"sig = 64 B, pk = 32 B x-only",bytes,64 / 32,DEFINITIONAL,definitional,Taproot-enabled chain,Direct measurement,"passes dimensional; not a law - no k to estimate, skip bootstrap"
30,Cryptography/signatures,ECDSA nonce reuse key recovery,d = (s1*k - h1)/r with k = (h1-h2)/(s1-s2),field elements mod n,"exact, 2 signatures suffice",PROVEN,proven,nonce reuse yes/no,Pure algebra; verify on a synthetic reused-nonce pair,"passes dimensional; regime gate n/a (theorem, not fitted)"
31,Cryptography/signatures,Biased-nonce lattice attack,~ (log2 n)/bias_bits signatures suffice via HNP/LLL,signatures [1]; bias [bit],"~2-4 bit bias, 100-200 sigs",PROVEN,proven (empirically reproduced),RNG bias magnitude,Run HNP recovery on synthetic biased signatures; failure at stated bias falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
32,Cryptography/signatures,BLS aggregation constant size,|agg_sig| = 96 B regardless of n signers (same message),n = signers [1]; bytes,96 B (or 48 B compressed G1),PROVEN,proven,same-message vs distinct-message,Distinct messages require n pairings - the constant-time claim breaks there,"passes dimensional; regime gate n/a (theorem, not fitted)"
33,Cryptography/zk,Groth16 constant proof size,"|pi| = 2*G1 + 1*G2, independent of circuit size |C|",|C| = constraints [1]; bytes,~192-200 B on BN254,PROVEN,proven,trusted setup present,Any circuit size producing a larger Groth16 proof falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
34,Cryptography/zk,Bulletproofs logarithmic size,|pi| = 2*ceil(log2 n) + 9 group elements,n = range bits [1],log2,PROVEN,proven,no trusted setup,Measure proof size across n = 8..64; deviation from log2 falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
35,Cryptography/zk,STARK proof scaling,"|pi| = O(log^2 n), verifier time O(log^2 n)",n = trace length [1],polylog,PROVEN,proven,"hash-based, PQ-safe",Empirical fit of |pi| vs log n on a real prover,"passes dimensional; regime gate n/a (theorem, not fitted)"
36,Cryptography/zk,Zcash Sapling proof size,|pi| = 192 B per spend/output,bytes,192,DEFINITIONAL,definitional,Sapling circuit,Direct measurement on chain,"passes dimensional; not a law - no k to estimate, skip bootstrap"
37,Cryptography/merkle,Merkle inclusion proof size,|proof| = ceil(log2 n) * 32 B,n = leaves [1]; bytes,32 B per level,PROVEN,proven,"binary tree, SHA-256",1M leaves -> 20 hashes = 640 B; deviation falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
38,Cryptography/merkle,Merkle root header constancy,|root| = 32 B for all n,n = tx count [1],32,DEFINITIONAL,definitional,hash width,Constant by construction,"passes dimensional; not a law - no k to estimate, skip bootstrap"
39,Bitcoin/monetary,Block subsidy halving,s(h) = 50 * 2^(-floor(h/210000)) BTC,h = block height [1]; s [BTC],"50 BTC, factor 2, period 210000",DEFINITIONAL,definitional,halving epoch,Read the subsidy at any height from a node; mismatch falsifies,"passes dimensional; not a law - no k to estimate, skip bootstrap"
40,Bitcoin/monetary,Terminal supply,"S_max = sum over 33 epochs = 2,099,999,997,690,000 sat",satoshi [1],"20,999,999.9769 BTC",DEFINITIONAL,definitional (consensus),integer truncation included,"Sum the subsidy schedule; the naive 21,000,000 figure is wrong by 0.0231 BTC","passes dimensional; not a law - no k to estimate, skip bootstrap"
41,Bitcoin/monetary,Halving interval in time,T_halving = 210000 * 600 s = 3.99 years nominal,seconds,1.26e8 s,DERIVED,derived,actual hashrate growth,Real intervals run short when hashrate grows; measure realised interval per epoch,"passes dimensional; regime gate n/a (theorem, not fitted)"
42,Bitcoin/consensus,Target block time,"E[T_block] = 600 s, T ~ Exponential(1/600)",T [s],600,DEFINITIONAL,definitional + memoryless,steady vs rising hashrate,KS-test observed inter-block times against Exp(600); systematic deviation = hashrate drift,"passes dimensional; not a law - no k to estimate, skip bootstrap"
43,Bitcoin/consensus,Difficulty retarget rule,"D_new = D_old * (T_actual / 1209600), clamped to [1/4, 4]",T_actual [s] over 2016 blocks,"2016 blocks, clamp 4x",DEFINITIONAL,definitional,clamp active or not,Recompute from headers; any retarget outside the clamp falsifies,"passes dimensional; not a law - no k to estimate, skip bootstrap"
44,Bitcoin/consensus,Hashrate estimator,H = D * 2^32 / 600 hashes/s,D [1]; H [hash/s],2^32 / 600,DERIVED,derived,estimator window length,Compare short-window estimate variance to Poisson prediction,"passes dimensional; regime gate n/a (theorem, not fitted)"
45,Bitcoin/consensus,Off-by-one retarget bug,"retarget uses 2015 intervals, not 2016",blocks [1],2015/2016 = 0.9995,DEFINITIONAL,definitional (known bug),Bitcoin only,Produces ~0.05% long-run block-time drift; measurable over many epochs,"passes dimensional; not a law - no k to estimate, skip bootstrap"
46,Bitcoin/limits,Block weight limit,"weight = base*3 + total <= 4,000,000 WU",weight units [1],4e6 WU,DEFINITIONAL,definitional (SegWit),pre/post SegWit,Any accepted block above 4M WU falsifies,"passes dimensional; not a law - no k to estimate, skip bootstrap"
47,Bitcoin/limits,Coinbase maturity,coinbase spendable after 100 confirmations,blocks [1],100,DEFINITIONAL,definitional,consensus rule,Attempt to spend at 99 -> rejected,"passes dimensional; not a law - no k to estimate, skip bootstrap"
48,Bitcoin/limits,Script opcode limit,MAX_OPS_PER_SCRIPT = 201 non-push ops,ops [1],201,DEFINITIONAL,definitional,legacy script (not Tapscript),Tapscript removes it - regime change,"passes dimensional; not a law - no k to estimate, skip bootstrap"
49,Bitcoin/security,Nakamoto double-spend probability,"P(z) via Poisson: lambda = z*q/p, P = 1 - sum_{k=0..z} (lambda^k e^-lambda/k!)(1-(q/p)^(z-k))",q = attacker hashrate share [1]; z = confirmations [1],"q, z",PROVEN,proven (given the model),q < 0.5,Assumes constant q and no network partition; simulate and compare,"passes dimensional; regime gate n/a (theorem, not fitted)"
50,Bitcoin/security,51% certainty threshold,q > 0.5 -> P(success) = 1 for any z,q [1],0.5,PROVEN,proven,honest-majority assumption,Gambler's-ruin result; a chain safe at q=0.51 falsifies the model,"passes dimensional; regime gate n/a (theorem, not fitted)"
51,Bitcoin/security,Selfish mining threshold,alpha* = (1-gamma)/(3-2*gamma),alpha = attacker share [1]; gamma = tie-break share [1],gamma=0 -> 1/3; gamma=1 -> 0,PROVEN,proven (Eyal-Sirer),propagation advantage gamma,Simulate with measured gamma; a profitable attack below alpha* falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
52,Bitcoin/security,Orphan/stale rate,r_stale = 1 - exp(-t_prop/T_block),t_prop [s]; T_block [s],exponential,EMPIRICAL,"empirical, well-supported",block propagation regime (pre/post Compact Blocks),Measure stale rate vs measured propagation delay,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
53,Bitcoin/security,Reorg depth decay,P(reorg depth >= z) decays as (q/p)^z for q<p,z [1],q/p,PROVEN,proven,q < 0.5,Empirical reorg histogram vs geometric decay,"passes dimensional; regime gate n/a (theorem, not fitted)"
54,Bitcoin/mining,Mining economic equilibrium,hashrate expands until marginal cost = marginal revenue,cost [USD/kWh]; revenue [USD/block],k to be estimated,EMPIRICAL,empirical,"bull vs bear, post-halving",Regress hashrate on (price / electricity cost) with lag; REGIME-SHIFT CANDIDATE for the gate cascade,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
55,Bitcoin/mining,Hashrate-price lag,"H(t) = f(P(t - tau)), tau on the order of weeks",tau [days],tau to be estimated by cross-correlation,EMPIRICAL,empirical,halving epoch,Cross-correlate log-hashrate and log-price; tau must be stable across epochs or the law fails,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
56,Bitcoin/mining,Fee share of miner revenue,"fee_share(h) = fees / (fees + s(h)), rises monotonically across halvings",dimensionless ratio,"trend, no fixed k",EMPIRICAL,empirical,halving epoch - NATURAL REGIME VARIABLE,Fit per epoch; a non-monotone trend across four epochs falsifies,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
57,Ethereum/fees,EIP-1559 base fee update,b_{n+1} = b_n * (1 + (g_n - g_target)/(8*g_target)),g = gas used [1]; b [wei],max +-12.5% per block,DEFINITIONAL,definitional,post-London,Recompute from any two consecutive headers; mismatch falsifies,"passes dimensional; not a law - no k to estimate, skip bootstrap"
58,Ethereum/fees,Gas target and limit,"g_target = g_limit/2, elasticity multiplier 2",gas [1],15M / 30M nominal,DEFINITIONAL,definitional,validators can drift the limit,"Read from headers; the limit is validator-adjustable, so it is not a true constant","passes dimensional; not a law - no k to estimate, skip bootstrap"
59,Ethereum/fees,Base fee burn,ETH_burned = base_fee * gas_used,wei,1,DEFINITIONAL,definitional,post-London,Sum over blocks and compare to supply delta,"passes dimensional; not a law - no k to estimate, skip bootstrap"
60,Ethereum/fees,Base fee doubling time,n_blocks to double = ln2 / ln(1.125) = 5.88 blocks,blocks [1],5.88 (~71 s),DERIVED,derived,full blocks sustained,Observe a sustained congestion event and fit,"passes dimensional; regime gate n/a (theorem, not fitted)"
61,Ethereum/consensus,Slot and epoch timing,"slot = 12 s, epoch = 32 slots = 384 s",seconds,12 / 384,DEFINITIONAL,definitional,post-Merge,Direct measurement,"passes dimensional; not a law - no k to estimate, skip bootstrap"
62,Ethereum/consensus,Finality delay,T_final = 2 epochs = 12.8 min under >2/3 participation,minutes,12.8,DEFINITIONAL,definitional + BFT condition,participation rate > 2/3,Below 2/3 the chain enters inactivity leak - REGIME SWITCH,"passes dimensional; not a law - no k to estimate, skip bootstrap"
63,Ethereum/consensus,Validator stake unit,32 ETH per validator (MaxEB raised by EIP-7251),ETH,"32, up to 2048 post-Pectra",DEFINITIONAL,definitional - VERSION SENSITIVE,fork version,Verify against current spec; this one moves with hard forks,"passes dimensional; not a law - no k to estimate, skip bootstrap"
64,Ethereum/consensus,Issuance scaling,annual_issuance proportional to sqrt(total_staked),ETH staked [ETH],exponent 0.5,DEFINITIONAL,definitional (base reward formula),post-Merge,Validator yield therefore scales as 1/sqrt(staked); fit against real staking data,"passes dimensional; not a law - no k to estimate, skip bootstrap"
65,Ethereum/consensus,BFT fault bound,n >= 3f + 1 for safety under f Byzantine validators,validators [1],3,PROVEN,proven (PBFT/Casper),partial synchrony,A safe protocol with n = 3f falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
66,Ethereum/consensus,FLP impossibility,no deterministic async consensus tolerates even 1 crash fault,boolean,n/a,PROVEN,proven,asynchronous network,Explains why every real chain adds synchrony or randomness assumptions,"passes dimensional; regime gate n/a (theorem, not fitted)"
67,Ethereum/data,EIP-4844 blob parameters,"blob = 128 KiB, target/max per block set by fork",bytes; blobs [1],131072 B; target/max VERSION SENSITIVE,DEFINITIONAL,definitional,fork version - verify current,"Read from the current spec, not from memory; this changed at Dencun, Pectra and after","passes dimensional; not a law - no k to estimate, skip bootstrap"
68,Ethereum/data,Blob fee market,"blob base fee follows the same exponential update as EIP-1559, separate market",wei,independent of execution gas,DEFINITIONAL,definitional,post-Dencun,Correlate blob fee and execution base fee - independence is the testable claim,"passes dimensional; not a law - no k to estimate, skip bootstrap"
69,Altchains,Litecoin parameters,"T_block = 150 s, S_max = 84e6 LTC, halving 840000 blocks",seconds; LTC,150 / 84e6,DEFINITIONAL,definitional,Litecoin,Exactly 4x Bitcoin's supply at 1/4 the block time - the scaling is deliberate,"passes dimensional; not a law - no k to estimate, skip bootstrap"
70,Altchains,Solana slot time,target slot = 400 ms,ms,400,DEFINITIONAL,definitional,realised slot time drifts above target,Measure realised vs target; the gap is the interesting quantity,"passes dimensional; not a law - no k to estimate, skip bootstrap"
71,Altchains,Monero ring size,ring size = 16 fixed since v0.18 (2022),decoys [1],16,DEFINITIONAL,definitional - VERSION SENSITIVE,protocol version,"Anonymity set is exactly 16, not more; chain analysis exploits ring-member age distribution","passes dimensional; not a law - no k to estimate, skip bootstrap"
72,Layer2,Lightning HTLC timelock monotonicity,CLTV_i > CLTV_{i+1} + delta for every hop i,blocks [1],delta ~ 40 blocks typical,DEFINITIONAL,definitional (safety requirement),route length,A route violating monotonicity is unsafe - constructive test,"passes dimensional; not a law - no k to estimate, skip bootstrap"
73,Layer2,Rollup data availability cost,cost_per_tx proportional to calldata_or_blob_bytes * DA_price,bytes; wei/byte,linear,DEFINITIONAL,definitional,pre/post EIP-4844 - HARD REGIME SHIFT,L2 fees dropped ~10-100x at Dencun; a model fitted pre-Dencun must fail after it,"passes dimensional; not a law - no k to estimate, skip bootstrap"
74,Networks,Nakamoto coefficient,N_c = min entities controlling > 1/3 (or 1/2) of a resource,entities [1],measured per chain,EMPIRICAL,empirical,"which resource: hashrate, stake, clients, nodes",Value depends entirely on the chosen resource - specify or the metric is meaningless,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
75,Networks,Attack cost floor,C_attack = hashrate_required * rental_price * duration,USD,linear,EMPIRICAL,empirical,rentable hashrate availability,Only valid where a rental market exists; PoS has no equivalent,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
76,Networks,Security budget ratio,security_budget / market_cap = miner_revenue_annual / market_cap,dimensionless,to be measured,EMPIRICAL,empirical,halving epoch,Declines mechanically with each halving unless fees compensate - the central open question,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
77,Markets/network,Metcalfe's law fit,log(MarketCap) = a + alpha*log(ActiveAddresses),addresses [1]; cap [USD],"alpha reported 1.5-2.0 - ESTIMATE, DO NOT ASSUME",CONTESTED,contested,bull vs bear regime,Fit per regime with bootstrap CI; alpha unstable across regimes = fails the regime-shift gate,expected to FAIL regime-shift or bootstrap - run it and record the failure
78,Markets/network,Address-count confounding,"ActiveAddresses is not a user count (exchange batching, UTXO churn)",addresses [1],n/a,CAVEAT,methodological caveat,custodial share of volume,Any Metcalfe fit must control for exchange-internal transfers or it measures nothing,review manually
79,Markets/valuation,Stock-to-flow,log(price) = a + b*log(S/F),S = stock [BTC]; F = annual flow [BTC/yr]; S/F [yr],b ~ 3.3 in-sample,FALSIFIED,FALSIFIED out-of-sample,pre-2021 vs post-2021,Failed decisively from 2022 onward; keep as a NEGATIVE CONTROL for the gate cascade,NEGATIVE CONTROL - cascade must reject
80,Markets/valuation,Power-law time model,log(price) = a + b*log(days since genesis),days [1]; price [USD],b ~ 5.8 reported,CONTESTED,contested - no mechanism,full history vs post-2017,Fits any monotone series over log time; test by refitting on truncated history,expected to FAIL regime-shift or bootstrap - run it and record the failure
81,Markets/valuation,Lindy survivorship bias,P(survival) increasing in age,years [1],no defensible k,NOT_TESTABLE,not testable as stated,surviving chains only,Sample includes only survivors - the estimator is biased by construction,"NEGATIVE CONTROL - insufficient n, reject at bootstrap"
82,Markets/vol,"GARCH(1,1) persistence",sigma2_t = omega + alpha*e2_{t-1} + beta*sigma2_{t-1},returns [1]; variance [1],alpha+beta reported 0.95-0.99 - ESTIMATE ON YOUR DATA,EMPIRICAL,"empirical, well-supported",asset and sampling frequency,Fit on BTC daily returns; alpha+beta near 1 means near-integrated volatility,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
83,Markets/vol,Volatility clustering,"autocorrelation of |r_t| decays slowly (hyperbolic), of r_t does not",returns [1],decay exponent to be estimated,EMPIRICAL,"empirical, robust",sampling frequency,"ACF of |r| vs r on the same series - a universal stylised fact, not crypto-specific",dimensional OK; MUST pass regime-shift + bootstrap before acceptance
84,Markets/vol,Fat tails,P(|r| > x) proportional to x^(-a),returns [1],tail index a ~ 2.5-4 reported,EMPIRICAL,empirical,exchange and period,Hill estimator with bootstrap CI; a < 2 would mean infinite variance,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
85,Markets/vol,Volatility time scaling,sigma(tau) proportional to tau^H,tau [s]; sigma [1],H ~ 0.5 under iid; deviations reported,EMPIRICAL,empirical,microstructure vs daily scale,Fit across tau = 1min..1month; H != 0.5 indicates memory,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
86,Markets/vol,Aggregational Gaussianity,kurtosis decreases toward 3 as sampling interval grows,kurtosis [1],3 asymptote,EMPIRICAL,"empirical, robust",sampling interval,Compute kurtosis at 1m/1h/1d/1w; monotone decline expected,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
87,Markets/vol,Leverage effect,"corr(r_t, sigma_{t+1}) < 0 in equities; weaker or absent in crypto",correlation [1],sign is the claim,CONTESTED,contested,asset class,Estimate on BTC vs SPX over identical windows,expected to FAIL regime-shift or bootstrap - run it and record the failure
88,Markets/micro,Square-root price impact,impact proportional to sigma * sqrt(Q/V),Q = order size; V = daily volume; sigma [1],"exponent 0.5, prefactor ~0.5-1",EMPIRICAL,"empirical, robust across asset classes",liquid vs illiquid pair,Fit on real fills; exponent far from 0.5 falsifies,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
89,Markets/micro,Spread-volatility relation,spread proportional to sigma / sqrt(volume),spread [bps],to be estimated,EMPIRICAL,empirical,market maker competition regime,Cross-sectional regression across pairs on one exchange,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
90,Markets/micro,Amihud illiquidity,ILLIQ = mean(|r| / volume),1/USD,measured,EMPIRICAL,empirical,exchange,Compare ILLIQ ranking to realised slippage,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
91,Markets/micro,Order book depth decay,depth(d) decays as power law in distance d from mid,depth [base units]; d [bps],exponent to be estimated,EMPIRICAL,empirical,market regime,Snapshot L2 books and fit,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
92,Markets/arb,Cash-and-carry basis,F = S * exp(r*T) under no-arbitrage,"F, S [USD]; r [1/yr]; T [yr]",r implied,PROVEN,proven given frictions,funding availability,Persistent basis above transaction+funding cost falsifies the frictionless bound,"passes dimensional; regime gate n/a (theorem, not fitted)"
93,Markets/arb,Perpetual funding rate,"funding ~ clamp((perp - index)/index + interest, cap)",dimensionless per 8h,cap venue-specific,DEFINITIONAL,definitional per venue,venue,Recompute from mark and index prices; venues differ - not a universal constant,"passes dimensional; not a law - no k to estimate, skip bootstrap"
94,Markets/arb,Cross-exchange spread bound,spread <= fees + transfer_time * sigma * z,bps; transfer time [s],to be estimated,EMPIRICAL,empirical,chain congestion,"Spreads exceeding the bound signal withdrawal restrictions, not free money",dimensional OK; MUST pass regime-shift + bootstrap before acceptance
95,Markets/arb,Put-call parity,C - P = S - K*exp(-rT),USD,exact,PROVEN,proven,"European options, no early exercise",Deviation = arbitrage or funding constraint; measure on Deribit,"passes dimensional; regime gate n/a (theorem, not fitted)"
96,Markets/arb,Volatility smile,implied vol convex in strike; crypto skew often positive (call skew),IV [1],skew sign is the claim,EMPIRICAL,empirical,bull vs bear,Crypto call skew in bull markets inverts equity put skew - regime-dependent,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
97,Markets/dist,Zipf law on balances,rank-size: balance(r) proportional to r^(-s),balances [BTC],s ~ 1 reported,EMPIRICAL,empirical,exchange addresses included or excluded,Excluding custodial clusters changes s materially - specify the filter,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
98,Markets/dist,Gini of on-chain wealth,G computed over address balances,"dimensionless [0,1]",measured,CONTESTED,empirical - INTERPRETATION CONTESTED,addresses vs entities,Addresses are not people; entity clustering changes G substantially,expected to FAIL regime-shift or bootstrap - run it and record the failure
99,Markets/dist,Dust threshold effect,address count inflated by outputs below economic spend threshold,satoshi,threshold = 546 sat typical,DEFINITIONAL,definitional + empirical,fee level,"Rising fees raise the effective dust bound - time-varying, not constant","passes dimensional; not a law - no k to estimate, skip bootstrap"
100,Markets/fees,Mempool congestion to fee,"fee_rate = f(mempool backlog), heavy-tailed spikes",sat/vB; backlog [vB],"convex, k to be estimated",EMPIRICAL,empirical,ordinals/inscription episodes as regime breaks,Fit pre- and post-2023 inscription era separately - REGIME-SHIFT CANDIDATE,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
101,Markets/fees,Fee elasticity of demand,d(log tx_count)/d(log fee) < 0,elasticity [1],to be estimated,EMPIRICAL,empirical,L2 availability,L2 migration changes elasticity - regime variable,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
